"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"1245991";"01";"5753860";"";"";"56830";"STRICTO SENSU";"";"Sala D4 Setor V";"2015";"1";"2015-03-30";"2015-06-20";"6M345";"23";"30";"REGULAR";"f";"2015-07-06 13:59:41.393";"f";"";"24";"CONSOLIDADA";"";"Presencial";
"1245991";"01";"5756268";"";"";"56830";"STRICTO SENSU";"";"Sala D4 Setor V";"2015";"1";"2015-03-30";"2015-06-20";"6M345";"23";"30";"REGULAR";"f";"2015-07-06 13:59:41.393";"f";"";"24";"CONSOLIDADA";"";"Presencial";
"1245992";"01";"";"105066678";"";"56810";"STRICTO SENSU";"";"Sala D4 Setor V";"2015";"1";"2015-03-30";"2015-06-27";"6T234";"13";"14";"REGULAR";"f";"2015-08-07 12:30:14.35";"f";"";"30";"CONSOLIDADA";"";"Presencial";
"1245993";"01";"5753060";"";"";"56828";"STRICTO SENSU";"";"Sala D4 Setor V";"2015";"1";"2015-03-26";"2015-06-20";"3M345";"9";"15";"REGULAR";"f";"2015-07-13 10:14:44.229";"f";"";"33";"CONSOLIDADA";"";"Presencial";
"1245994";"01";"16991";"";"";"56815";"STRICTO SENSU";"";"Sala A2 no setor V";"2015";"1";"2015-03-30";"2015-06-20";"5M345";"17";"25";"REGULAR";"f";"2015-08-06 11:26:33.469";"f";"";"30";"CONSOLIDADA";"";"Presencial";
"1245995";"01";"5756275";"";"";"56823";"STRICTO SENSU";"";"Sala A2 no setor V";"2015";"1";"2015-03-30";"2015-06-27";"6T234";"14";"16";"REGULAR";"f";"2015-07-12 17:41:53.043";"f";"";"30";"CONSOLIDADA";"";"Presencial";
"1245996";"01";"5756260";"";"";"57735";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"2T56 (02/02/2015 - 20/06/2015)";"";"30";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1245997";"01";"5756244";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:12:46.544";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1245997";"01";"5756273";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:12:46.544";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1245997";"01";"5756238";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:12:46.544";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1245998";"02";"5756233";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:13:26.045";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1245998";"02";"5756238";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:13:26.045";"f";"";"36";"CONSOLIDADA";"";"Presencial";
"1245998";"02";"5756244";"";"";"58280";"GRADUAÇÃO";"Campus Caicó";"Escola Multicampi de Ciências Médicas";"2015";"1";"2015-02-02";"2015-06-20";"23456M234 (02/02/2015 - 06/02/2015),  6T23456 (09/03/2015 - 13/03/2015),  6T23456 (06/04/2015 - 10/04/2015),  6T23456 (11/05/2015 - 15/05/2015), 7M6  7T23456 (15/06/2015 - 20/06/2015)";"8";"8";"REGULAR";"f";"2015-06-26 15:13:26.045";"f";"";"36";"CONSOLIDADA";"";"Presencial";
